token	corpus size	all contexts size	frequency	co-frequency	specificity
cœur	14063	7153	4	3	0.59
Quel	14063	7153	4	3	0.59
suivre	14063	7153	4	3	0.59
tâches	14063	7153	4	3	0.59
commencent	14063	7153	4	3	0.59
distance	14063	7153	4	3	0.59
raconte	14063	7153	4	3	0.59
trop	14063	7153	4	3	0.59
Et	14063	7153	4	3	0.59
comportement	14063	7153	4	3	0.59
papa	14063	7153	4	3	0.59
Éveil	14063	7153	4	3	0.59
passent	14063	7153	4	3	0.59
exprimera	14063	7153	4	3	0.59
niveaux	14063	7153	4	3	0.59
exprime	14063	7153	4	3	0.59
maintenant	14063	7153	4	3	0.59
an	14063	7153	4	3	0.59
aime	14063	7153	4	3	0.59
grandes	14063	7153	4	3	0.59
étapes	14063	7153	4	3	0.59
coin	14063	7153	4	3	0.59
hygiène	14063	7153	4	3	0.59
Bosch	14063	7153	4	3	0.59
cadum	14063	7153	2	2	0.59
publicitaire	14063	7153	2	2	0.59
jeté	14063	7153	2	2	0.59
bain	14063	7153	2	2	0.59
coca	14063	7153	2	2	0.59
amoureux	14063	7153	2	2	0.59
top	14063	7153	2	2	0.59
Actu	14063	7153	2	2	0.59
observaient	14063	7153	2	2	0.59
donnent	14063	7153	2	2	0.59
recèle	14063	7153	2	2	0.59
mystère	14063	7153	2	2	0.59
mille	14063	7153	2	2	0.59
viennent	14063	7153	2	2	0.59
prématurés	14063	7153	2	2	0.59
charge	14063	7153	2	2	0.59
Vidéo	14063	7153	2	2	0.59
lumière	14063	7153	2	2	0.59
brique	14063	7153	2	2	0.59
fonctionner	14063	7153	2	2	0.59
proposées	14063	7153	2	2	0.59
signaux	14063	7153	2	2	0.59
définition	14063	7153	2	2	0.59
bracelets	14063	7153	2	2	0.59
placés	14063	7153	2	2	0.59
poignet	14063	7153	2	2	0.59
clown	14063	7153	2	2	0.59
aucun	14063	7153	2	2	0.59
notion	14063	7153	2	2	0.59
testés	14063	7153	2	2	0.59
bases	14063	7153	2	2	0.59
Véronique	14063	7153	2	2	0.59
Izard	14063	7153	2	2	0.59
issue	14063	7153	2	2	0.59
participation	14063	7153	2	2	0.59
remettre	14063	7153	2	2	0.59
certificat	14063	7153	2	2	0.59
honneur	14063	7153	2	2	0.59
cognition	14063	7153	2	2	0.59
dénombrent	14063	7153	2	2	0.59
journal	14063	7153	2	2	0.59
formidables	14063	7153	2	2	0.59
reconnaitre	14063	7153	2	2	0.59
savent	14063	7153	2	2	0.59
quelles	14063	7153	2	2	0.59
travaux	14063	7153	2	2	0.59
prennent	14063	7153	2	2	0.59
laquelle	14063	7153	2	2	0.59
francophones	14063	7153	2	2	0.59
écoutaient	14063	7153	2	2	0.59
grammaire	14063	7153	2	2	0.59
mini-langue	14063	7153	2	2	0.59
groupes	14063	7153	2	2	0.59
individuels	14063	7153	2	2	0.59
laitages	14063	7153	2	2	0.59
submit	14063	7153	2	2	0.59
Email	14063	7153	2	2	0.59
Téléphone	14063	7153	2	2	0.59
alimentaire	14063	7153	2	2	0.59
régaler	14063	7153	2	2	0.59
déjeuner	14063	7153	2	2	0.59
dîner	14063	7153	2	2	0.59
accompagner	14063	7153	2	2	0.59
nutritionnel	14063	7153	2	2	0.59
gammes	14063	7153	2	2	0.59
pensés	14063	7153	2	2	0.59
blue	14063	7153	2	2	0.59
alimentation	14063	7153	2	2	0.59
You	14063	7153	2	2	0.59
need	14063	7153	2	2	0.59
login	14063	7153	2	2	0.59
register	14063	7153	2	2	0.59
add	14063	7153	2	2	0.59
your	14063	7153	2	2	0.59
partage	14063	7153	2	2	0.59
sociable	14063	7153	2	2	0.59
choix	14063	7153	2	2	0.59
sociabiliser	14063	7153	2	2	0.59
fait-il	14063	7153	2	2	0.59
dodo	14063	7153	2	2	0.59
solo	14063	7153	2	2	0.59
principal	14063	7153	2	2	0.59
Crèche	14063	7153	2	2	0.59
ptit-souper-berceuse	14063	7153	2	2	0.59
astuces	14063	7153	2	2	0.59
angoisses	14063	7153	2	2	0.59
gérer	14063	7153	2	2	0.59
ptit-souper-bebe-fait-ses-nuits	14063	7153	2	2	0.59
Voici	14063	7153	2	2	0.59
questions	14063	7153	2	2	0.59
gesticulations	14063	7153	2	2	0.59
Apprenez	14063	7153	2	2	0.59
Sommeil	14063	7153	2	2	0.59
intervient	14063	7153	2	2	0.59
Face	14063	7153	2	2	0.59
reconnaître	14063	7153	2	2	0.59
Garde	14063	7153	2	2	0.59
jpg	14063	7153	2	2	0.59
coucher	14063	7153	2	2	0.59
Laits	14063	7153	2	2	0.59
infantiles	14063	7153	2	2	0.59
Céréales	14063	7153	2	2	0.59
Petits	14063	7153	2	2	0.59
plats	14063	7153	2	2	0.59
Plats	14063	7153	2	2	0.59
Biscuit	14063	7153	2	2	0.59
Logo	14063	7153	2	2	0.59
biscuit	14063	7153	2	2	0.59
Plan	14063	7153	2	2	0.59
infantile	14063	7153	2	2	0.59
Biberon	14063	7153	2	2	0.59
Fruits	14063	7153	2	2	0.59
légumes	14063	7153	2	2	0.59
Premières	14063	7153	2	2	0.59
Pleurs	14063	7153	2	2	0.59
Education	14063	7153	2	2	0.59
Prendre	14063	7153	2	2	0.59
Troubles	14063	7153	2	2	0.59
digestifs	14063	7153	2	2	0.59
Tutos	14063	7153	2	2	0.59
Outils	14063	7153	2	2	0.59
All	14063	7153	2	2	0.59
trademarks	14063	7153	2	2	0.59
are	14063	7153	2	2	0.59
owned	14063	7153	2	2	0.59
by	14063	7153	2	2	0.59
Vidéos	14063	7153	2	2	0.59
Dis-moi	14063	7153	2	2	0.59
Périodes	14063	7153	2	2	0.59
sensibles	14063	7153	2	2	0.59
Montessori	14063	7153	2	2	0.59
Arts	14063	7153	2	2	0.59
créativité	14063	7153	2	2	0.59
PODCAST	14063	7153	2	2	0.59
Éveillons-nous	14063	7153	2	2	0.59
Aménagement	14063	7153	2	2	0.59
Lieu	14063	7153	2	2	0.59
accueil	14063	7153	2	2	0.59
blog	14063	7153	2	2	0.59
wesco	14063	7153	2	2	0.59
proximité	14063	7153	2	2	0.59
parentale	14063	7153	2	2	0.59
nouveau-né	14063	7153	2	2	0.59
produisent	14063	7153	2	2	0.59
éprouvent	14063	7153	2	2	0.59
atteignent	14063	7153	2	2	0.59
Du	14063	7153	2	2	0.59
sociaux	14063	7153	2	2	0.59
deviendra	14063	7153	2	2	0.59
conversations	14063	7153	2	2	0.59
manifestera	14063	7153	2	2	0.59
prêtez	14063	7153	2	2	0.59
état	14063	7153	2	2	0.59
jouez	14063	7153	2	2	0.59
hyperémotif	14063	7153	2	2	0.59
exprimez	14063	7153	2	2	0.59
ensemble	14063	7153	2	2	0.59
importante	14063	7153	2	2	0.59
probable	14063	7153	2	2	0.59
éprouvera	14063	7153	2	2	0.59
autonome	14063	7153	2	2	0.59
nombreux	14063	7153	2	2	0.59
nourrice	14063	7153	2	2	0.59
heures	14063	7153	2	2	0.59
gardé	14063	7153	2	2	0.59
solitaire	14063	7153	2	2	0.59
Parler	14063	7153	2	2	0.59
Vacances	14063	7153	2	2	0.59
déplacer	14063	7153	2	2	0.59
soulager	14063	7153	2	2	0.59
rampent	14063	7153	2	2	0.59
adorent	14063	7153	2	2	0.59
mange	14063	7153	2	2	0.59
Prêt	14063	7153	2	2	0.59
Idées	14063	7153	2	2	0.59
Adolescents	14063	7153	2	2	0.59
Bien-être	14063	7153	2	2	0.59
mental	14063	7153	2	2	0.59
Décryptage	14063	7153	2	2	0.59
problèmes	14063	7153	2	2	0.59
courants	14063	7153	2	2	0.59
pattes	14063	7153	2	2	0.59
doigt	14063	7153	2	2	0.59
Page	14063	7153	2	2	0.59
cérébral	14063	7153	2	2	0.59
Regarder	14063	7153	2	2	0.59
sportune	14063	7153	2	2	0.59
Minutes	14063	7153	2	2	0.59
Maison	14063	7153	2	2	0.59
Quelle	14063	7153	2	2	0.59
chaton	14063	7153	2	2	0.59
frappent	14063	7153	2	2	0.59
pressé	14063	7153	2	2	0.59
Live	14063	7153	2	2	0.59
accouche	14063	7153	2	2	0.59
McDo	14063	7153	2	2	0.59
surnomme	14063	7153	2	2	0.59
ma	14063	7153	2	2	0.59
spécialiste	14063	7153	2	2	0.59
Havea	14063	7153	2	2	0.59
dévoile	14063	7153	2	2	0.59
ABONNER	14063	7153	2	2	0.59
délivre	14063	7153	2	2	0.59
consultables	14063	7153	2	2	0.59
spécialement	14063	7153	2	2	0.59
développée	14063	7153	2	2	0.59
moins	14063	7153	8	4	0.56
êtes	14063	7153	8	4	0.56
peuvent	14063	7153	8	4	0.56
durant	14063	7153	8	4	0.56
points	14063	7153	8	4	0.56
point	14063	7153	8	4	0.56
dont	14063	7153	8	4	0.56
était	14063	7153	8	4	0.56
jour	14063	7153	8	4	0.56
produits	14063	7153	7	4	0.56
petite	14063	7153	7	4	0.56
scientifiques	14063	7153	7	4	0.56
années	14063	7153	7	4	0.56
article	14063	7153	7	4	0.56
façon	14063	7153	7	4	0.56
Journal	14063	7153	7	4	0.56
grossesse	14063	7153	7	4	0.56
jeux	14063	7153	7	4	0.56
avoir	14063	7153	7	4	0.56
commencer	14063	7153	7	4	0.56
sans	14063	7153	7	4	0.56
travers	14063	7153	6	3	0.51
parfois	14063	7153	6	3	0.51
porte	14063	7153	6	3	0.51
Des	14063	7153	6	3	0.51
montre	14063	7153	6	3	0.51
exercice	14063	7153	6	3	0.51
environnement	14063	7153	6	3	0.51
lors	14063	7153	6	3	0.51
fur	14063	7153	6	3	0.51
grandit	14063	7153	6	3	0.51
jusqu	14063	7153	6	3	0.51
nuit	14063	7153	6	3	0.51
anxiété	14063	7153	6	3	0.51
Mamans	14063	7153	6	3	0.51
comédie	14063	7153	6	3	0.51
musicale	14063	7153	6	3	0.51
ainsi	14063	7153	5	3	0.50
soin	14063	7153	5	3	0.50
site	14063	7153	5	3	0.50
amour	14063	7153	5	3	0.50
entourent	14063	7153	5	3	0.50
Pendant	14063	7153	5	3	0.50
rapport	14063	7153	5	3	0.50
voir	14063	7153	5	3	0.50
côté	14063	7153	5	3	0.50
voit	14063	7153	5	3	0.50
organisée	14063	7153	5	3	0.50
produit	14063	7153	5	3	0.50
tout-petit	14063	7153	5	3	0.50
développe	14063	7153	5	3	0.50
né	14063	7153	5	3	0.50
mieux	14063	7153	5	3	0.50
vraiment	14063	7153	5	3	0.50
attentifs	14063	7153	5	3	0.50
puériculture	14063	7153	5	3	0.50
fort	14063	7153	4	2	0.43
image	14063	7153	4	2	0.43
devant	14063	7153	4	2	0.43
savons	14063	7153	4	2	0.43
e	14063	7153	4	2	0.43
faut	14063	7153	4	2	0.43
lien	14063	7153	4	2	0.43
longtemps	14063	7153	4	2	0.43
Photothèque	14063	7153	4	2	0.43
connaît	14063	7153	4	2	0.43
repérer	14063	7153	4	2	0.43
maths	14063	7153	4	2	0.43
intéresse	14063	7153	4	2	0.43
facile	14063	7153	4	2	0.43
imagerie	14063	7153	4	2	0.43
femme	14063	7153	4	2	0.43
âgés	14063	7153	4	2	0.43
Institut	14063	7153	4	2	0.43
Pasteur	14063	7153	4	2	0.43
conscience	14063	7153	4	2	0.43
maternelle	14063	7153	4	2	0.43
Nous	14063	7153	4	2	0.43
contenu	14063	7153	4	2	0.43
Produits	14063	7153	4	2	0.43
répondre	14063	7153	4	2	0.43
Socialisation	14063	7153	4	2	0.43
or	14063	7153	4	2	0.43
règles	14063	7153	4	2	0.43
moment	14063	7153	4	2	0.43
séparation	14063	7153	4	2	0.43
autant	14063	7153	4	2	0.43
niveau	14063	7153	4	2	0.43
Même	14063	7153	4	2	0.43
activité	14063	7153	4	2	0.43
moyen	14063	7153	4	2	0.43
environ	14063	7153	4	2	0.43
sourire	14063	7153	4	2	0.43
Lorsque	14063	7153	4	2	0.43
esprit	14063	7153	4	2	0.43
essayez	14063	7153	4	2	0.43
long	14063	7153	4	2	0.43
ressentir	14063	7153	4	2	0.43
Certains	14063	7153	4	2	0.43
répond	14063	7153	4	2	0.43
bien-être	14063	7153	4	2	0.43
Back	14063	7153	4	2	0.43
présent	14063	7153	4	2	0.43
Sportune	14063	7153	4	2	0.43
Seniors	14063	7153	4	2	0.43
Son	14063	7153	4	2	0.43
tas	14063	7153	4	2	0.43
application	14063	7153	4	2	0.43
française	14063	7153	4	2	0.43
douceur	14063	7153	3	2	0.42
marché	14063	7153	3	2	0.42
utilisé	14063	7153	3	2	0.42
professionnels	14063	7153	3	2	0.42
gros	14063	7153	3	2	0.42
doudou	14063	7153	3	2	0.42
eux	14063	7153	3	2	0.42
Petit	14063	7153	3	2	0.42
étaient	14063	7153	3	2	0.42
donne	14063	7153	3	2	0.42
considère	14063	7153	3	2	0.42
observer	14063	7153	3	2	0.42
intéressé	14063	7153	3	2	0.42
peut-être	14063	7153	3	2	0.42
Articles	14063	7153	3	2	0.42
expérience	14063	7153	3	2	0.42
exercices	14063	7153	3	2	0.42
LPP	14063	7153	3	2	0.42
phrase	14063	7153	3	2	0.42
Grâce	14063	7153	3	2	0.42
tôt	14063	7153	3	2	0.42
différent	14063	7153	3	2	0.42
fin	14063	7153	3	2	0.42
mère	14063	7153	3	2	0.42
particulièrement	14063	7153	3	2	0.42
penser	14063	7153	3	2	0.42
p	14063	7153	3	2	0.42
trouvez	14063	7153	3	2	0.42
Vers	14063	7153	3	2	0.42
Maman	14063	7153	3	2	0.42
arrive	14063	7153	3	2	0.42
regards	14063	7153	3	2	0.42
parmi	14063	7153	3	2	0.42
heure	14063	7153	3	2	0.42
réveille	14063	7153	3	2	0.42
activités	14063	7153	3	2	0.42
mars	14063	7153	3	2	0.42
approche	14063	7153	3	2	0.42
souvent	14063	7153	3	2	0.42
davantage	14063	7153	3	2	0.42
Après	14063	7153	3	2	0.42
compte	14063	7153	3	2	0.42
laisser	14063	7153	3	2	0.42
sent	14063	7153	3	2	0.42
cinquième	14063	7153	3	2	0.42
étrangers	14063	7153	3	2	0.42
calmer	14063	7153	3	2	0.42
pourra	14063	7153	3	2	0.42
présence	14063	7153	3	2	0.42
devez	14063	7153	3	2	0.42
grande	14063	7153	3	2	0.42
Sans	14063	7153	3	2	0.42
avez	14063	7153	3	2	0.42
remarque	14063	7153	3	2	0.42
école	14063	7153	3	2	0.42
interagir	14063	7153	3	2	0.42
quels	14063	7153	3	2	0.42
stimuler	14063	7153	3	2	0.42
suivi	14063	7153	3	2	0.42
soins	14063	7153	3	2	0.42
Vincent	14063	7153	3	2	0.42
Cassel	14063	7153	3	2	0.42
Rise	14063	7153	3	2	0.42
connecté	14063	7153	3	2	0.42
version	14063	7153	3	2	0.42
concours	14063	7153	2	1	0.30
b	14063	7153	2	1	0.30
moderne	14063	7153	2	1	0.30
rose	14063	7153	2	1	0.30
entendre	14063	7153	2	1	0.30
publie	14063	7153	2	1	0.30
mères	14063	7153	2	1	0.30
élection	14063	7153	2	1	0.30
usage	14063	7153	2	1	0.30
mignon	14063	7153	2	1	0.30
celui	14063	7153	2	1	0.30
dents	14063	7153	2	1	0.30
photo	14063	7153	2	1	0.30
Chéri	14063	7153	2	1	0.30
oui	14063	7153	2	1	0.30
DE	14063	7153	2	1	0.30
photos	14063	7153	2	1	0.30
inscrire	14063	7153	2	1	0.30
cognitives	14063	7153	2	1	0.30
prêter	14063	7153	2	1	0.30
imaginés	14063	7153	2	1	0.30
Nicolas	14063	7153	2	1	0.30
BAKER	14063	7153	2	1	0.30
expliquer	14063	7153	2	1	0.30
indices	14063	7153	2	1	0.30
précision	14063	7153	2	1	0.30
zone	14063	7153	2	1	0.30
marionnette	14063	7153	2	1	0.30
bosse	14063	7153	2	1	0.30
pu	14063	7153	2	1	0.30
avait	14063	7153	2	1	0.30
différence	14063	7153	2	1	0.30
suite	14063	7153	2	1	0.30
pourtant	14063	7153	2	1	0.30
menées	14063	7153	2	1	0.30
directement	14063	7153	2	1	0.30
semaines	14063	7153	2	1	0.30
noir	14063	7153	2	1	0.30
mal	14063	7153	2	1	0.30
LinkedIn	14063	7153	2	1	0.30
Semaine	14063	7153	2	1	0.30
Facebook	14063	7153	2	1	0.30
Twitter	14063	7153	2	1	0.30
conférence	14063	7153	2	1	0.30
IFrame	14063	7153	2	1	0.30
ronde	14063	7153	2	1	0.30
perceptions	14063	7153	2	1	0.30
vision	14063	7153	2	1	0.30
Très	14063	7153	2	1	0.30
multiples	14063	7153	2	1	0.30
père	14063	7153	2	1	0.30
moindre	14063	7153	2	1	0.30
manière	14063	7153	2	1	0.30
ceux-ci	14063	7153	2	1	0.30
mondiale	14063	7153	2	1	0.30
force	14063	7153	2	1	0.30
réalisé	14063	7153	2	1	0.30
items	14063	7153	2	1	0.30
tests	14063	7153	2	1	0.30
fréquents	14063	7153	2	1	0.30
familial	14063	7153	2	1	0.30
soudainement	14063	7153	2	1	0.30
gens	14063	7153	2	1	0.30
sociabilise	14063	7153	2	1	0.30
nocturnes	14063	7153	2	1	0.30
incriminer	14063	7153	2	1	0.30
tente	14063	7153	2	1	0.30
homme	14063	7153	2	1	0.30
table	14063	7153	2	1	0.30
augmentation	14063	7153	2	1	0.30
éveillé	14063	7153	2	1	0.30
jalousie	14063	7153	2	1	0.30
différents	14063	7153	2	1	0.30
plan	14063	7153	2	1	0.30
probablement	14063	7153	2	1	0.30
réel	14063	7153	2	1	0.30
vrai	14063	7153	2	1	0.30
fixer	14063	7153	2	1	0.30
excitation	14063	7153	2	1	0.30
lesquelles	14063	7153	2	1	0.30
frustration	14063	7153	2	1	0.30
Gardez	14063	7153	2	1	0.30
conjointe	14063	7153	2	1	0.30
celle	14063	7153	2	1	0.30
pause	14063	7153	2	1	0.30
auxquels	14063	7153	2	1	0.30
rester	14063	7153	2	1	0.30
dégoût	14063	7153	2	1	0.30
nourrir	14063	7153	2	1	0.30
intensité	14063	7153	2	1	0.30
maîtriser	14063	7153	2	1	0.30
doute	14063	7153	2	1	0.30
serez	14063	7153	2	1	0.30
source	14063	7153	2	1	0.30
équipe	14063	7153	2	1	0.30
communauté	14063	7153	2	1	0.30
journées	14063	7153	2	1	0.30
passées	14063	7153	2	1	0.30
imite	14063	7153	2	1	0.30
propreté	14063	7153	2	1	0.30
étape	14063	7153	2	1	0.30
espace	14063	7153	2	1	0.30
explorer	14063	7153	2	1	0.30
possibilités	14063	7153	2	1	0.30
réaction	14063	7153	2	1	0.30
envie	14063	7153	2	1	0.30
reste	14063	7153	2	1	0.30
sentira	14063	7153	2	1	0.30
nature	14063	7153	2	1	0.30
