token	corpus size	all contexts size	frequency	co-frequency	specificity
crawl	98446	11949	8	6	4.16
fly	98446	11949	8	6	4.16
A	98446	11949	270	54	4.14
chair	98446	11949	11	7	4.12
make	98446	11949	84	23	4.09
Dance	98446	11949	53	17	4.09
playing	98446	11949	30	12	4.07
safe	98446	11949	26	11	4.03
app	98446	11949	22	10	4.02
seat	98446	11949	35	13	3.97
formula	98446	11949	15	8	3.91
crawling	98446	11949	15	8	3.91
fed	98446	11949	6	5	3.86
shampoo	98446	11949	6	5	3.86
month	98446	11949	66	19	3.81
floor	98446	11949	12	7	3.79
-month-olds	98446	11949	12	7	3.79
lactation	98446	11949	9	6	3.74
prevent	98446	11949	9	6	3.74
concussion	98446	11949	37	13	3.70
will	98446	11949	142	32	3.68
BabyCenter	98446	11949	84	22	3.66
plates	98446	11949	4	4	3.66
loving	98446	11949	4	4	3.66
safest	98446	11949	4	4	3.66
ten	98446	11949	4	4	3.66
-week-old	98446	11949	4	4	3.66
foods	98446	11949	24	10	3.65
born	98446	11949	38	13	3.58
milk	98446	11949	13	7	3.51
they	98446	11949	183	38	3.50
way	98446	11949	54	16	3.47
continues	98446	11949	17	8	3.45
encourage	98446	11949	7	5	3.37
vision	98446	11949	7	5	3.37
for	98446	11949	897	139	3.37
find	98446	11949	31	11	3.27
talking	98446	11949	31	11	3.27
Slaton	98446	11949	14	7	3.27
Joyce	98446	11949	14	7	3.27
dietitian	98446	11949	11	6	3.11
plane	98446	11949	11	6	3.11
cuddling	98446	11949	5	4	3.02
registry	98446	11949	5	4	3.02
shake	98446	11949	5	4	3.02
syndrome	98446	11949	5	4	3.02
smiling	98446	11949	38	12	3.02
lap	98446	11949	8	5	3.00
IBCLC	98446	11949	8	5	3.00
consultant	98446	11949	8	5	3.00
cry	98446	11949	8	5	3.00
Keep	98446	11949	8	5	3.00
pick	98446	11949	8	5	3.00
Feeding	98446	11949	24	9	2.97
words	98446	11949	24	9	2.97
re	98446	11949	55	15	2.91
someone	98446	11949	20	8	2.90
easier	98446	11949	12	6	2.87
Did	98446	11949	12	6	2.87
simple	98446	11949	12	6	2.87
try	98446	11949	16	7	2.86
age	98446	11949	56	15	2.83
James	98446	11949	40	12	2.82
Love	98446	11949	35	11	2.80
happy	98446	11949	21	8	2.75
getting	98446	11949	21	8	2.75
parent	98446	11949	21	8	2.75
Bonding	98446	11949	3	3	2.75
Choosing	98446	11949	3	3	2.75
methods	98446	11949	3	3	2.75
Hawksley	98446	11949	3	3	2.75
preemie	98446	11949	3	3	2.75
weaning	98446	11949	3	3	2.75
grass	98446	11949	3	3	2.75
sibling	98446	11949	3	3	2.75
diapers	98446	11949	3	3	2.75
bowls	98446	11949	3	3	2.75
straw	98446	11949	3	3	2.75
cups	98446	11949	3	3	2.75
costumes	98446	11949	3	3	2.75
chin	98446	11949	3	3	2.75
rashes	98446	11949	3	3	2.75
repeat	98446	11949	3	3	2.75
pull	98446	11949	3	3	2.75
sleeps	98446	11949	3	3	2.75
ages-stages	98446	11949	3	3	2.75
Developmental-Milestones-	98446	11949	3	3	2.75
bonding	98446	11949	3	3	2.75
fractures	98446	11949	3	3	2.75
chewing	98446	11949	3	3	2.75
greeting	98446	11949	3	3	2.75
leaped	98446	11949	3	3	2.75
solid	98446	11949	9	5	2.70
flight	98446	11949	9	5	2.70
face	98446	11949	26	9	2.70
keep	98446	11949	31	10	2.69
sounds	98446	11949	17	7	2.68
is	98446	11949	800	120	2.67
hold	98446	11949	13	6	2.65
play	98446	11949	42	12	2.63
kissing	98446	11949	6	4	2.60
welcome	98446	11949	6	4	2.60
-month-old	98446	11949	6	4	2.60
enjoy	98446	11949	6	4	2.60
on	98446	11949	745	112	2.59
brain	98446	11949	55	14	2.49
ready	98446	11949	23	8	2.48
Girl	98446	11949	28	9	2.47
car	98446	11949	28	9	2.47
laughing	98446	11949	14	6	2.47
changing	98446	11949	14	6	2.47
sound	98446	11949	14	6	2.47
activities	98446	11949	10	5	2.46
Body	98446	11949	10	5	2.46
spoon	98446	11949	10	5	2.46
feel	98446	11949	39	11	2.42
What	98446	11949	165	31	2.40
crib	98446	11949	19	7	2.38
safety	98446	11949	29	9	2.37
OnlyFans	98446	11949	75	17	2.36
know	98446	11949	69	16	2.35
Funke	98446	11949	15	6	2.30
move	98446	11949	15	6	2.30
concussions	98446	11949	15	6	2.30
Registry	98446	11949	7	4	2.29
Builder	98446	11949	7	4	2.29
Formula	98446	11949	7	4	2.29
stand	98446	11949	7	4	2.29
conversation	98446	11949	7	4	2.29
Hey	98446	11949	7	4	2.29
Fans	98446	11949	7	4	2.29
speaking	98446	11949	7	4	2.29
motor	98446	11949	7	4	2.29
it	98446	11949	325	53	2.28
laying	98446	11949	11	5	2.25
collage	98446	11949	11	5	2.25
what	98446	11949	77	17	2.25
look	98446	11949	25	8	2.25
that	98446	11949	545	82	2.21
soothe	98446	11949	4	3	2.20
explained	98446	11949	4	3	2.20
choking	98446	11949	4	3	2.20
Erika	98446	11949	4	3	2.20
Reals	98446	11949	4	3	2.20
arm	98446	11949	4	3	2.20
baths	98446	11949	4	3	2.20
teaches	98446	11949	4	3	2.20
restraint	98446	11949	4	3	2.20
pointing	98446	11949	4	3	2.20
conversations	98446	11949	4	3	2.20
Aw	98446	11949	4	3	2.20
addition	98446	11949	4	3	2.20
brains	98446	11949	4	3	2.20
hearing	98446	11949	4	3	2.20
sick	98446	11949	4	3	2.20
after	98446	11949	91	19	2.19
free	98446	11949	42	11	2.19
toys	98446	11949	26	8	2.15
skin	98446	11949	26	8	2.15
enough	98446	11949	21	7	2.13
grow	98446	11949	21	7	2.13
even	98446	11949	49	12	2.11
medicine	98446	11949	32	9	2.09
give	98446	11949	32	9	2.09
cartoon	98446	11949	12	5	2.07
according	98446	11949	12	5	2.07
word	98446	11949	12	5	2.07
Medically	98446	11949	12	5	2.07
An	98446	11949	27	8	2.05
image	98446	11949	44	11	2.04
Unique	98446	11949	8	4	2.04
games	98446	11949	8	4	2.04
towards	98446	11949	8	4	2.04
basics	98446	11949	8	4	2.04
about	98446	11949	184	32	2.04
them	98446	11949	170	30	2.04
into	98446	11949	88	18	2.04
physical	98446	11949	22	7	2.02
award	98446	11949	17	6	2.02
and	98446	11949	2388	311	1.99
well	98446	11949	39	10	1.99
hand	98446	11949	45	11	1.98
being	98446	11949	52	12	1.92
guide	98446	11949	23	7	1.92
NICU	98446	11949	18	6	1.90
be	98446	11949	257	41	1.87
piggy	98446	11949	5	3	1.86
C-section	98446	11949	5	3	1.86
safely	98446	11949	5	3	1.86
bathe	98446	11949	5	3	1.86
faces	98446	11949	5	3	1.86
wash	98446	11949	5	3	1.86
dinghy	98446	11949	5	3	1.86
mothers	98446	11949	5	3	1.86
washcloth	98446	11949	5	3	1.86
tastes	98446	11949	5	3	1.86
keeping	98446	11949	5	3	1.86
Chorus	98446	11949	5	3	1.86
Words	98446	11949	5	3	1.86
calls	98446	11949	5	3	1.86
peekaboo	98446	11949	5	3	1.86
take	98446	11949	35	9	1.86
track	98446	11949	9	4	1.84
Basics	98446	11949	9	4	1.84
Crying	98446	11949	9	4	1.84
feed	98446	11949	9	4	1.84
movement	98446	11949	9	4	1.84
reaching	98446	11949	9	4	1.84
damage	98446	11949	9	4	1.84
kind	98446	11949	9	4	1.84
build	98446	11949	9	4	1.84
bankcartoon	98446	11949	2	2	1.83
Problem	98446	11949	2	2	1.83
Solver	98446	11949	2	2	1.83
cartcartoon	98446	11949	2	2	1.83
cart	98446	11949	2	2	1.83
eatingbaby	98446	11949	2	2	1.83
Premature	98446	11949	2	2	1.83
facebaby	98446	11949	2	2	1.83
smooshed	98446	11949	2	2	1.83
toughest	98446	11949	2	2	1.83
acne	98446	11949	2	2	1.83
rainbow	98446	11949	2	2	1.83
zodiac	98446	11949	2	2	1.83
bottle-feeding	98446	11949	2	2	1.83
answering	98446	11949	2	2	1.83
Chaunie	98446	11949	2	2	1.83
Brusie	98446	11949	2	2	1.83
wipe	98446	11949	2	2	1.83
wipes	98446	11949	2	2	1.83
cereals	98446	11949	2	2	1.83
hats	98446	11949	2	2	1.83
Halloween	98446	11949	2	2	1.83
sacks	98446	11949	2	2	1.83
bras	98446	11949	2	2	1.83
humidifiers	98446	11949	2	2	1.83
registries	98446	11949	2	2	1.83
completion	98446	11949	2	2	1.83
Nordstrom	98446	11949	2	2	1.83
Introducing	98446	11949	2	2	1.83
handy	98446	11949	2	2	1.83
fragrance-free	98446	11949	2	2	1.83
instant	98446	11949	2	2	1.83
bathing	98446	11949	2	2	1.83
massage	98446	11949	2	2	1.83
dryness	98446	11949	2	2	1.83
harvest	98446	11949	2	2	1.83
bababa	98446	11949	2	2	1.83
blocks	98446	11949	2	2	1.83
textures	98446	11949	2	2	1.83
Describe	98446	11949	2	2	1.83
layers	98446	11949	2	2	1.83
naturally	98446	11949	2	2	1.83
efforts	98446	11949	2	2	1.83
remind	98446	11949	2	2	1.83
Remind	98446	11949	2	2	1.83
Nobody	98446	11949	2	2	1.83
Pre-Chorus	98446	11949	2	2	1.83
Bridge	98446	11949	2	2	1.83
gifbabe	98446	11949	2	2	1.83
tonight	98446	11949	2	2	1.83
flirting	98446	11949	2	2	1.83
hinting	98446	11949	2	2	1.83
BIG	98446	11949	2	2	1.83
BOOBZ	98446	11949	2	2	1.83
BARBIE	98446	11949	2	2	1.83
bigboobzbarbie	98446	11949	2	2	1.83
pooping	98446	11949	2	2	1.83
achieved	98446	11949	2	2	1.83
drooling	98446	11949	2	2	1.83
roughly	98446	11949	2	2	1.83
watching	98446	11949	2	2	1.83
-Months	98446	11949	2	2	1.83
Speech	98446	11949	2	2	1.83
dislikes	98446	11949	2	2	1.83
sing-song	98446	11949	2	2	1.83
laughter	98446	11949	2	2	1.83
listening	98446	11949	2	2	1.83
cuddles	98446	11949	2	2	1.83
rhythm	98446	11949	2	2	1.83
unexplainable	98446	11949	2	2	1.83
allegedly	98446	11949	2	2	1.83
rooms	98446	11949	2	2	1.83
manger	98446	11949	2	2	1.83
secular	98446	11949	2	2	1.83
Seizures	98446	11949	2	2	1.83
vigorous	98446	11949	2	2	1.83
clapping	98446	11949	2	2	1.83
enjoying	98446	11949	2	2	1.83
vegetable	98446	11949	2	2	1.83
puree	98446	11949	2	2	1.83
basinet	98446	11949	2	2	1.83
snuggled	98446	11949	2	2	1.83
Age-by-Age	98446	11949	2	2	1.83
abacus	98446	11949	2	2	1.83
Afro	98446	11949	2	2	1.83
develop	98446	11949	24	7	1.83
when	98446	11949	171	29	1.82
year	98446	11949	42	10	1.79
before	98446	11949	42	10	1.79
birth	98446	11949	42	10	1.79
Erin	98446	11949	14	5	1.78
blue	98446	11949	14	5	1.78
anything	98446	11949	14	5	1.78
music	98446	11949	14	5	1.78
great	98446	11949	25	7	1.74
injury	98446	11949	31	8	1.72
does	98446	11949	56	12	1.72
avoid	98446	11949	10	4	1.68
tub	98446	11949	10	4	1.68
breast	98446	11949	10	4	1.68
voice	98446	11949	10	4	1.68
refer	98446	11949	10	4	1.68
text	98446	11949	10	4	1.68
tell	98446	11949	15	5	1.66
notice	98446	11949	15	5	1.66
possible	98446	11949	15	5	1.66
food	98446	11949	26	7	1.66
water	98446	11949	26	7	1.66
too	98446	11949	26	7	1.66
during	98446	11949	71	14	1.64
screening	98446	11949	6	3	1.62
everyone	98446	11949	6	3	1.62
poop	98446	11949	6	3	1.62
awake	98446	11949	6	3	1.62
sale	98446	11949	6	3	1.62
drops	98446	11949	6	3	1.62
deaths	98446	11949	6	3	1.62
alert	98446	11949	6	3	1.62
clean	98446	11949	6	3	1.62
calm	98446	11949	6	3	1.62
significant	98446	11949	6	3	1.62
respond	98446	11949	6	3	1.62
similar	98446	11949	6	3	1.62
bump	98446	11949	6	3	1.62
falls	98446	11949	6	3	1.62
one	98446	11949	129	22	1.61
blanket	98446	11949	21	6	1.60
Jump	98446	11949	21	6	1.60
me	98446	11949	86	16	1.60
person	98446	11949	27	7	1.59
Best	98446	11949	214	33	1.56
Gard	98446	11949	16	5	1.56
Lazarus	98446	11949	16	5	1.56
times	98446	11949	16	5	1.56
position	98446	11949	16	5	1.56
in	98446	11949	1226	156	1.55
feet	98446	11949	11	4	1.54
sit	98446	11949	11	4	1.54
Is	98446	11949	54	11	1.51
important	98446	11949	35	8	1.47
good	98446	11949	35	8	1.47
postpartum	98446	11949	17	5	1.46
reach	98446	11949	29	7	1.45
advice	98446	11949	23	6	1.45
Julie	98446	11949	7	3	1.43
complications	98446	11949	7	3	1.43
teeth	98446	11949	7	3	1.43
bad	98446	11949	7	3	1.43
Then	98446	11949	7	3	1.43
amount	98446	11949	7	3	1.43
uses	98446	11949	7	3	1.43
unable	98446	11949	7	3	1.43
-Week-Old	98446	11949	7	3	1.43
Do	98446	11949	36	8	1.42
Afolabi-Brown	98446	11949	12	4	1.42
everything	98446	11949	12	4	1.42
normal	98446	11949	12	4	1.42
newborns	98446	11949	12	4	1.42
starting	98446	11949	12	4	1.42
stay	98446	11949	12	4	1.42
high	98446	11949	12	4	1.42
Solid	98446	11949	3	2	1.41
Using	98446	11949	3	2	1.41
heavy	98446	11949	3	2	1.41
Track	98446	11949	3	2	1.41
includes	98446	11949	3	2	1.41
offered	98446	11949	3	2	1.41
multiples	98446	11949	3	2	1.41
grab	98446	11949	3	2	1.41
recognize	98446	11949	3	2	1.41
circumference	98446	11949	3	2	1.41
grabbing	98446	11949	3	2	1.41
tired	98446	11949	3	2	1.41
introduce	98446	11949	3	2	1.41
lotion	98446	11949	3	2	1.41
appear	98446	11949	3	2	1.41
capture	98446	11949	3	2	1.41
calming	98446	11949	3	2	1.41
Always	98446	11949	3	2	1.41
allow	98446	11949	3	2	1.41
gently	98446	11949	3	2	1.41
scoot	98446	11949	3	2	1.41
Teach	98446	11949	3	2	1.41
risks	98446	11949	3	2	1.41
Taking	98446	11949	3	2	1.41
worse	98446	11949	3	2	1.41
options	98446	11949	3	2	1.41
reply	98446	11949	3	2	1.41
hello	98446	11949	3	2	1.41
basis	98446	11949	3	2	1.41
pulling	98446	11949	3	2	1.41
cutting	98446	11949	3	2	1.41
cruising	98446	11949	3	2	1.41
Important	98446	11949	3	2	1.41
sing	98446	11949	3	2	1.41
mouths	98446	11949	3	2	1.41
copying	98446	11949	3	2	1.41
involving	98446	11949	3	2	1.41
suffer	98446	11949	3	2	1.41
edges	98446	11949	3	2	1.41
immunization	98446	11949	3	2	1.41
Protect	98446	11949	3	2	1.41
recently	98446	11949	3	2	1.41
baby-proofing	98446	11949	3	2	1.41
cribs	98446	11949	3	2	1.41
unconscious	98446	11949	3	2	1.41
cold	98446	11949	3	2	1.41
touching	98446	11949	3	2	1.41
Cute	98446	11949	3	2	1.41
foreground	98446	11949	3	2	1.41
bench	98446	11949	3	2	1.41
Breastfeeding	98446	11949	30	7	1.39
Help	98446	11949	30	7	1.39
because	98446	11949	30	7	1.39
winners	98446	11949	24	6	1.38
questions	98446	11949	18	5	1.38
giving	98446	11949	18	5	1.38
expert	98446	11949	18	5	1.38
N	98446	11949	18	5	1.38
hands	98446	11949	31	7	1.34
babe	98446	11949	66	12	1.33
older	98446	11949	13	4	1.31
deals	98446	11949	13	4	1.31
another	98446	11949	13	4	1.31
power	98446	11949	13	4	1.31
trying	98446	11949	19	5	1.30
needs	98446	11949	19	5	1.30
get	98446	11949	98	16	1.29
care	98446	11949	53	10	1.29
handle	98446	11949	8	3	1.28
parts	98446	11949	8	3	1.28
cutouts	98446	11949	8	3	1.28
Explained	98446	11949	8	3	1.28
areas	98446	11949	8	3	1.28
knows	98446	11949	8	3	1.28
meaning	98446	11949	8	3	1.28
joy	98446	11949	8	3	1.28
Shows	98446	11949	8	3	1.28
Ways	98446	11949	8	3	1.28
Milestones	98446	11949	46	9	1.28
doctor	98446	11949	46	9	1.28
start	98446	11949	91	15	1.27
such	98446	11949	61	11	1.26
much	98446	11949	26	6	1.26
sure	98446	11949	26	6	1.26
other	98446	11949	84	14	1.25
not	98446	11949	223	31	1.25
home	98446	11949	40	8	1.24
over	98446	11949	62	11	1.23
Play	98446	11949	20	5	1.23
arms	98446	11949	20	5	1.23
nursing	98446	11949	14	4	1.23
various	98446	11949	14	4	1.23
attention	98446	11949	14	4	1.23
Only	98446	11949	14	4	1.23
understand	98446	11949	14	4	1.23
You	98446	11949	118	18	1.21
diaper	98446	11949	27	6	1.20
cause	98446	11949	27	6	1.20
as	98446	11949	380	46	1.20
little	98446	11949	41	8	1.20
some	98446	11949	79	13	1.19
time	98446	11949	104	16	1.18
Postpartum	98446	11949	21	5	1.17
sign	98446	11949	21	5	1.17
womb	98446	11949	21	5	1.17
Bath	98446	11949	4	2	1.17
nicu	98446	11949	4	2	1.17
messy	98446	11949	4	2	1.17
connect	98446	11949	4	2	1.17
question	98446	11949	4	2	1.17
relax	98446	11949	4	2	1.17
drop	98446	11949	4	2	1.17
cries	98446	11949	4	2	1.17
regression	98446	11949	4	2	1.17
recovery	98446	11949	4	2	1.17
exercise	98446	11949	4	2	1.17
drink	98446	11949	4	2	1.17
bags	98446	11949	4	2	1.17
storage	98446	11949	4	2	1.17
vitamin	98446	11949	4	2	1.17
biggest	98446	11949	4	2	1.17
Anniversary	98446	11949	4	2	1.17
Sale	98446	11949	4	2	1.17
stock	98446	11949	4	2	1.17
packed	98446	11949	4	2	1.17
REUTERS	98446	11949	4	2	1.17
MARITIMO	98446	11949	4	2	1.17
intellectual	98446	11949	4	2	1.17
sponge	98446	11949	4	2	1.17
easily	98446	11949	4	2	1.17
flights	98446	11949	4	2	1.17
passport	98446	11949	4	2	1.17
slang	98446	11949	4	2	1.17
checking	98446	11949	4	2	1.17
maybe	98446	11949	4	2	1.17
focus	98446	11949	4	2	1.17
babble	98446	11949	4	2	1.17
Sometimes	98446	11949	4	2	1.17
laugh	98446	11949	4	2	1.17
reactions	98446	11949	4	2	1.17
essential	98446	11949	4	2	1.17
precautions	98446	11949	4	2	1.17
spends	98446	11949	4	2	1.17
Bathing	98446	11949	9	3	1.16
Amazon	98446	11949	9	3	1.16
Never	98446	11949	9	3	1.16
feeling	98446	11949	9	3	1.16
commonly	98446	11949	9	3	1.16
believers	98446	11949	9	3	1.16
off	98446	11949	35	7	1.16
line	98446	11949	15	4	1.15
eat	98446	11949	15	4	1.15
photos	98446	11949	15	4	1.15
but	98446	11949	123	18	1.14
out	98446	11949	159	22	1.13
just	98446	11949	51	9	1.12
fun	98446	11949	22	5	1.11
Some	98446	11949	22	5	1.11
eyes	98446	11949	29	6	1.11
all	98446	11949	181	24	1.10
R	98446	11949	44	8	1.10
night	98446	11949	16	4	1.08
picks	98446	11949	16	4	1.08
bring	98446	11949	16	4	1.08
likes	98446	11949	16	4	1.08
protect	98446	11949	16	4	1.08
cases	98446	11949	16	4	1.08
reviewed	98446	11949	16	4	1.08
most	98446	11949	61	10	1.07
Hinga	98446	11949	10	3	1.06
tests	98446	11949	10	3	1.06
friends	98446	11949	10	3	1.06
steps	98446	11949	10	3	1.06
box	98446	11949	10	3	1.06
alone	98446	11949	10	3	1.06
travel	98446	11949	10	3	1.06
endearment	98446	11949	10	3	1.06
Girls	98446	11949	10	3	1.06
thing	98446	11949	10	3	1.06
already	98446	11949	10	3	1.06
Development	98446	11949	70	11	1.05
new	98446	11949	96	14	1.05
It	98446	11949	134	18	1.04
girl	98446	11949	71	11	1.04
used	98446	11949	39	7	1.02
illustration	98446	11949	47	8	1.02
those	98446	11949	24	5	1.02
something	98446	11949	24	5	1.02
having	98446	11949	17	4	1.02
held	98446	11949	17	4	1.02
within	98446	11949	17	4	1.02
holds	98446	11949	5	2	1.00
train	98446	11949	5	2	1.00
animation	98446	11949	5	2	1.00
full-term	98446	11949	5	2	1.00
Lucy	98446	11949	5	2	1.00
clearly	98446	11949	5	2	1.00
note	98446	11949	5	2	1.00
nap	98446	11949	5	2	1.00
forehead	98446	11949	5	2	1.00
chatting	98446	11949	5	2	1.00
Prime	98446	11949	5	2	1.00
discounts	98446	11949	5	2	1.00
Canary	98446	11949	5	2	1.00
natural	98446	11949	5	2	1.00
Whether	98446	11949	5	2	1.00
moves	98446	11949	5	2	1.00
mobile	98446	11949	5	2	1.00
prepared	98446	11949	5	2	1.00
mild	98446	11949	5	2	1.00
distress	98446	11949	5	2	1.00
Having	98446	11949	5	2	1.00
Verse	98446	11949	5	2	1.00
plays	98446	11949	5	2	1.00
romantic	98446	11949	5	2	1.00
thanks	98446	11949	5	2	1.00
Tavia	98446	11949	5	2	1.00
instructions	98446	11949	5	2	1.00
continuing	98446	11949	5	2	1.00
voices	98446	11949	5	2	1.00
milestone	98446	11949	5	2	1.00
babbling	98446	11949	5	2	1.00
singing	98446	11949	5	2	1.00
learns	98446	11949	5	2	1.00
Before	98446	11949	5	2	1.00
easy	98446	11949	5	2	1.00
gown	98446	11949	5	2	1.00
Romania	98446	11949	5	2	1.00
recommends	98446	11949	5	2	1.00
necessary	98446	11949	5	2	1.00
Here	98446	11949	32	6	1.00
Names	98446	11949	65	10	1.00
happen	98446	11949	11	3	0.98
cute	98446	11949	11	3	0.98
drinking	98446	11949	11	3	0.98
reason	98446	11949	11	3	0.98
toy	98446	11949	11	3	0.98
Don	98446	11949	11	3	0.98
Strotman	98446	11949	11	3	0.98
down	98446	11949	41	7	0.97
lot	98446	11949	18	4	0.96
injuries	98446	11949	18	4	0.96
no	98446	11949	59	9	0.95
through	98446	11949	69	10	0.94
next	98446	11949	26	5	0.94
early	98446	11949	26	5	0.94
own	98446	11949	34	6	0.94
hospital	98446	11949	34	6	0.94
Guide	98446	11949	43	7	0.93
see	98446	11949	43	7	0.93
white	98446	11949	19	4	0.92
physician	98446	11949	19	4	0.92
example	98446	11949	19	4	0.92
saw	98446	11949	19	4	0.92
solve	98446	11949	1	1	0.92
childcare	98446	11949	1	1	0.92
babywoman	98446	11949	1	1	0.92
bottlebaby	98446	11949	1	1	0.92
lapmother	98446	11949	1	1	0.92
babynew	98446	11949	1	1	0.92
Contraception	98446	11949	1	1	0.92
Firsts	98446	11949	1	1	0.92
tummysmiling	98446	11949	1	1	0.92
Concerns	98446	11949	1	1	0.92
Attachment	98446	11949	1	1	0.92
mombaby	98446	11949	1	1	0.92
standmom	98446	11949	1	1	0.92
Naps	98446	11949	1	1	0.92
babymother	98446	11949	1	1	0.92
Pumping	98446	11949	1	1	0.92
babyfather	98446	11949	1	1	0.92
Soothing	98446	11949	1	1	0.92
bottlemother	98446	11949	1	1	0.92
Nipples	98446	11949	1	1	0.92
Creating	98446	11949	1	1	0.92
Routine	98446	11949	1	1	0.92
spoonbaby	98446	11949	1	1	0.92
nicubaby	98446	11949	1	1	0.92
metals	98446	11949	1	1	0.92
blanketsleeping	98446	11949	1	1	0.92
foodbaby	98446	11949	1	1	0.92
manufacturers	98446	11949	1	1	0.92
Senior	98446	11949	1	1	0.92
screams	98446	11949	1	1	0.92
behaviour	98446	11949	1	1	0.92
expert-reviewed	98446	11949	1	1	0.92
PREMIUM	98446	11949	1	1	0.92
BabyCenterCourses	98446	11949	1	1	0.92
genderscartoon	98446	11949	1	1	0.92
markbaby	98446	11949	1	1	0.92
illustrationpuzzle	98446	11949	1	1	0.92
Babble	98446	11949	1	1	0.92
Zodiac	98446	11949	1	1	0.92
AllFertilityHow	98446	11949	1	1	0.92
tales	98446	11949	1	1	0.92
babymoon	98446	11949	1	1	0.92
Dela	98446	11949	1	1	0.92
Merced	98446	11949	1	1	0.92
subwoofer	98446	11949	1	1	0.92
lentils	98446	11949	1	1	0.92
hiccups	98446	11949	1	1	0.92
epidural	98446	11949	1	1	0.92
utero	98446	11949	1	1	0.92
fortune	98446	11949	1	1	0.92
announcing	98446	11949	1	1	0.92
predictor	98446	11949	1	1	0.92
Jenny	98446	11949	1	1	0.92
Des	98446	11949	1	1	0.92
Jarlais	98446	11949	1	1	0.92
pajamas	98446	11949	1	1	0.92
CareBreastfeedingPremature	98446	11949	1	1	0.92
BabiesBaby	98446	11949	1	1	0.92
GuidesBaby	98446	11949	1	1	0.92
DevelopmentPostpartum	98446	11949	1	1	0.92
HealthSolids	98446	11949	1	1	0.92
arch	98446	11949	1	1	0.92
Yeast	98446	11949	1	1	0.92
poops	98446	11949	1	1	0.92
babys	98446	11949	1	1	0.92
burped	98446	11949	1	1	0.92
spooning	98446	11949	1	1	0.92
powdered	98446	11949	1	1	0.92
