token	corpus size	all contexts size	frequency	co-frequency	specificity
деятельности	12609	5836	9	7	1.33
здоровья	12609	5836	11	8	1.27
на	12609	5836	152	71	1.19
те	12609	5836	6	5	1.16
много	12609	5836	6	5	1.16
Submit	12609	5836	6	5	1.16
мы	12609	5836	32	18	1.13
воспитания	12609	5836	8	6	1.10
который	12609	5836	8	6	1.10
Семья	12609	5836	8	6	1.10
руках	12609	5836	8	6	1.10
должны	12609	5836	24	14	1.09
по	12609	5836	78	38	1.08
всех	12609	5836	10	7	1.07
проектов	12609	5836	10	7	1.07
права	12609	5836	14	9	1.06
быть	12609	5836	29	16	1.03
у	12609	5836	47	24	1.03
называют	12609	5836	3	3	1.00
отношение	12609	5836	3	3	1.00
эта	12609	5836	3	3	1.00
зависимости	12609	5836	3	3	1.00
обязанности	12609	5836	3	3	1.00
школа	12609	5836	3	3	1.00
Развитие	12609	5836	3	3	1.00
Образование	12609	5836	3	3	1.00
органами	12609	5836	3	3	1.00
мать	12609	5836	3	3	1.00
неврологии	12609	5836	3	3	1.00
отвечает	12609	5836	3	3	1.00
помогает	12609	5836	3	3	1.00
БЛАГОТВОРИТЕЛЬНЫЙ	12609	5836	3	3	1.00
ФОНД	12609	5836	3	3	1.00
социально	12609	5836	3	3	1.00
значимыми	12609	5836	3	3	1.00
Отчеты	12609	5836	3	3	1.00
Специалистам	12609	5836	3	3	1.00
молодежь	12609	5836	3	3	1.00
разработаны	12609	5836	3	3	1.00
очно	12609	5836	3	3	1.00
работает	12609	5836	3	3	1.00
семьями	12609	5836	3	3	1.00
особенных	12609	5836	3	3	1.00
Опрос	12609	5836	3	3	1.00
удовлетворенности	12609	5836	3	3	1.00
дополнительного	12609	5836	3	3	1.00
прежде	12609	5836	3	3	1.00
самой	12609	5836	3	3	1.00
защита	12609	5836	3	3	1.00
местного	12609	5836	3	3	1.00
самоуправления	12609	5836	3	3	1.00
пособия	12609	5836	3	3	1.00
личное	12609	5836	3	3	1.00
могли	12609	5836	3	3	1.00
видео	12609	5836	3	3	1.00
рождением	12609	5836	3	3	1.00
тут	12609	5836	3	3	1.00
тысяч	12609	5836	3	3	1.00
сажать	12609	5836	3	3	1.00
рядом	12609	5836	3	3	1.00
многие	12609	5836	3	3	1.00
первые	12609	5836	3	3	1.00
Рав	12609	5836	3	3	1.00
путешествия	12609	5836	3	3	1.00
В	12609	5836	51	25	0.99
за	12609	5836	50	24	0.96
жизни	12609	5836	19	11	0.96
также	12609	5836	35	18	0.95
к	12609	5836	48	23	0.95
все	12609	5836	26	14	0.94
других	12609	5836	15	9	0.93
развитие	12609	5836	13	8	0.92
говорить	12609	5836	13	8	0.92
физического	12609	5836	5	4	0.91
проблемы	12609	5836	5	4	0.91
женщину	12609	5836	5	4	0.91
помощью	12609	5836	5	4	0.91
зрения	12609	5836	5	4	0.91
этой	12609	5836	5	4	0.91
Фонд	12609	5836	5	4	0.91
проекты	12609	5836	5	4	0.91
работы	12609	5836	5	4	0.91
особенностями	12609	5836	5	4	0.91
входят	12609	5836	5	4	0.91
сами	12609	5836	5	4	0.91
поддержку	12609	5836	5	4	0.91
тем	12609	5836	5	4	0.91
Права	12609	5836	5	4	0.91
прав	12609	5836	5	4	0.91
правах	12609	5836	5	4	0.91
дневного	12609	5836	5	4	0.91
во	12609	5836	11	7	0.90
Все	12609	5836	11	7	0.90
команды	12609	5836	11	7	0.90
мама	12609	5836	7	5	0.89
родители	12609	5836	33	16	0.87
Как	12609	5836	31	15	0.86
можно	12609	5836	24	12	0.82
возрасте	12609	5836	14	8	0.82
со	12609	5836	19	10	0.81
же	12609	5836	19	10	0.81
жизнь	12609	5836	12	7	0.79
января	12609	5836	12	7	0.79
так	12609	5836	24	11	0.79
помощи	12609	5836	20	10	0.78
будет	12609	5836	20	10	0.78
детях	12609	5836	10	6	0.76
семей	12609	5836	10	6	0.76
помочь	12609	5836	10	6	0.76
право	12609	5836	18	9	0.75
когда	12609	5836	18	9	0.75
кто	12609	5836	8	5	0.73
свою	12609	5836	8	5	0.73
С	12609	5836	13	7	0.73
является	12609	5836	16	7	0.71
между	12609	5836	6	4	0.70
наука	12609	5836	6	4	0.70
возраст	12609	5836	6	4	0.70
защите	12609	5836	6	4	0.70
всей	12609	5836	6	4	0.70
Нужно	12609	5836	6	4	0.70
Наша	12609	5836	6	4	0.70
своим	12609	5836	6	4	0.70
школе	12609	5836	6	4	0.70
Новости	12609	5836	6	4	0.70
родителями	12609	5836	6	4	0.70
никогда	12609	5836	6	4	0.70
Очень	12609	5836	6	4	0.70
месяцев	12609	5836	14	7	0.70
России	12609	5836	11	6	0.69
воспитании	12609	5836	4	3	0.67
являются	12609	5836	4	3	0.67
важных	12609	5836	4	3	0.67
обращения	12609	5836	4	3	0.67
ситуации	12609	5836	4	3	0.67
месяцам	12609	5836	4	3	0.67
детских	12609	5836	4	3	0.67
педагогов	12609	5836	4	3	0.67
своем	12609	5836	4	3	0.67
центр	12609	5836	4	3	0.67
Наши	12609	5836	4	3	0.67
РФ	12609	5836	4	3	0.67
качеством	12609	5836	4	3	0.67
работать	12609	5836	4	3	0.67
заниматься	12609	5836	4	3	0.67
такие	12609	5836	4	3	0.67
своими	12609	5836	4	3	0.67
Согласно	12609	5836	4	3	0.67
уважать	12609	5836	4	3	0.67
связи	12609	5836	4	3	0.67
статьи	12609	5836	4	3	0.67
времени	12609	5836	4	3	0.67
омбудсмен	12609	5836	4	3	0.67
Динара	12609	5836	4	3	0.67
папы	12609	5836	4	3	0.67
II	12609	5836	2	2	0.67
принято	12609	5836	2	2	0.67
начало	12609	5836	2	2	0.67
веке	12609	5836	2	2	0.67
I	12609	5836	2	2	0.67
уходе	12609	5836	2	2	0.67
Европы	12609	5836	2	2	0.67
домов	12609	5836	2	2	0.67
интереса	12609	5836	2	2	0.67
воспитанию	12609	5836	2	2	0.67
была	12609	5836	2	2	0.67
отмечается	12609	5836	2	2	0.67
Основная	12609	5836	2	2	0.67
статья	12609	5836	2	2	0.67
навязчивое	12609	5836	2	2	0.67
направление	12609	5836	2	2	0.67
знать	12609	5836	2	2	0.67
формирование	12609	5836	2	2	0.67
необходимых	12609	5836	2	2	0.67
Дополнительные	12609	5836	2	2	0.67
нарушения	12609	5836	2	2	0.67
состояния	12609	5836	2	2	0.67
числе	12609	5836	2	2	0.67
обеспечение	12609	5836	2	2	0.67
Таким	12609	5836	2	2	0.67
находятся	12609	5836	2	2	0.67
методов	12609	5836	2	2	0.67
жестокого	12609	5836	2	2	0.67
включает	12609	5836	2	2	0.67
неё	12609	5836	2	2	0.67
отцов	12609	5836	2	2	0.67
длина	12609	5836	2	2	0.67
теломер	12609	5836	2	2	0.67
способ	12609	5836	2	2	0.67
порнографии	12609	5836	2	2	0.67
Ю	12609	5836	2	2	0.67
делаем	12609	5836	2	2	0.67
меньшинств	12609	5836	2	2	0.67
поддержки	12609	5836	2	2	0.67
гарантия	12609	5836	2	2	0.67
родился	12609	5836	2	2	0.67
больнице	12609	5836	2	2	0.67
отец	12609	5836	2	2	0.67
предотвратить	12609	5836	2	2	0.67
развиваться	12609	5836	2	2	0.67
давать	12609	5836	2	2	0.67
развитию	12609	5836	2	2	0.67
регионе	12609	5836	2	2	0.67
Подписаться	12609	5836	2	2	0.67
больным	12609	5836	2	2	0.67
Помогите	12609	5836	2	2	0.67
врачей	12609	5836	2	2	0.67
новые	12609	5836	2	2	0.67
подростков	12609	5836	2	2	0.67
изменить	12609	5836	2	2	0.67
детям-сиротам	12609	5836	2	2	0.67
условия	12609	5836	2	2	0.67
сферы	12609	5836	2	2	0.67
качества	12609	5836	2	2	0.67
Премия	12609	5836	2	2	0.67
всестороннее	12609	5836	2	2	0.67
досуга	12609	5836	2	2	0.67
сфере	12609	5836	2	2	0.67
праву	12609	5836	2	2	0.67
категории	12609	5836	2	2	0.67
поделиться	12609	5836	2	2	0.67
посещают	12609	5836	2	2	0.67
Насколько	12609	5836	2	2	0.67
результат	12609	5836	2	2	0.67
вклада	12609	5836	2	2	0.67
регионах	12609	5836	2	2	0.67
способности	12609	5836	2	2	0.67
улучшения	12609	5836	2	2	0.67
Поддержка	12609	5836	2	2	0.67
Обучение	12609	5836	2	2	0.67
Роза	12609	5836	2	2	0.67
ветров	12609	5836	2	2	0.67
тяжёлыми	12609	5836	2	2	0.67
множественными	12609	5836	2	2	0.67
нарушениями	12609	5836	2	2	0.67
Сопровождение	12609	5836	2	2	0.67
редкими	12609	5836	2	2	0.67
выбирают	12609	5836	2	2	0.67
Смену	12609	5836	2	2	0.67
Happy	12609	5836	2	2	0.67
English	12609	5836	2	2	0.67
School	12609	5836	2	2	0.67
Нижняя	12609	5836	2	2	0.67
Тура	12609	5836	2	2	0.67
дошкольного	12609	5836	2	2	0.67
неизлечимо	12609	5836	2	2	0.67
ждут	12609	5836	2	2	0.67
тяжелобольных	12609	5836	2	2	0.67
повод	12609	5836	2	2	0.67
сложные	12609	5836	2	2	0.67
добро	12609	5836	2	2	0.67
множилось	12609	5836	2	2	0.67
получили	12609	5836	2	2	0.67
наши	12609	5836	2	2	0.67
Вера	12609	5836	2	2	0.67
прожить	12609	5836	2	2	0.67
маяком	12609	5836	2	2	0.67
несмотря	12609	5836	2	2	0.67
Культура	12609	5836	2	2	0.67
Наука	12609	5836	2	2	0.67
Технологии	12609	5836	2	2	0.67
Авто	12609	5836	2	2	0.67
преподавать	12609	5836	2	2	0.67
социального	12609	5836	2	2	0.67
важный	12609	5836	2	2	0.67
эту	12609	5836	2	2	0.67
станет	12609	5836	2	2	0.67
уж	12609	5836	2	2	0.67
троих	12609	5836	2	2	0.67
считает	12609	5836	2	2	0.67
защиту	12609	5836	2	2	0.67
обращаться	12609	5836	2	2	0.67
благополучии	12609	5836	2	2	0.67
положения	12609	5836	2	2	0.67
попавших	12609	5836	2	2	0.67
физическими	12609	5836	2	2	0.67
психическими	12609	5836	2	2	0.67
недостатками	12609	5836	2	2	0.67
сожалению	12609	5836	2	2	0.67
самого	12609	5836	2	2	0.67
занимается	12609	5836	2	2	0.67
защитой	12609	5836	2	2	0.67
телефону	12609	5836	2	2	0.67
запрещает	12609	5836	2	2	0.67
Закона	12609	5836	2	2	0.67
труд	12609	5836	2	2	0.67
зависимость	12609	5836	2	2	0.67
бесплатное	12609	5836	2	2	0.67
До	12609	5836	2	2	0.67
учреждениях	12609	5836	2	2	0.67
свое	12609	5836	2	2	0.67
родившихся	12609	5836	2	2	0.67
особыми	12609	5836	2	2	0.67
потребностями	12609	5836	2	2	0.67
постановления	12609	5836	2	2	0.67
граждан	12609	5836	2	2	0.67
Переписывался	12609	5836	2	2	0.67
заявление	12609	5836	2	2	0.67
неуместных	12609	5836	2	2	0.67
переписках	12609	5836	2	2	0.67
передает	12609	5836	2	2	0.67
Tengrinews	12609	5836	2	2	0.67
любых	12609	5836	2	2	0.67
зафиксировали	12609	5836	2	2	0.67
Певец	12609	5836	2	2	0.67
обожает	12609	5836	2	2	0.67
крестницу	12609	5836	2	2	0.67
сейчас	12609	5836	2	2	0.67
Проблема	12609	5836	2	2	0.67
способность	12609	5836	2	2	0.67
здоровых	12609	5836	2	2	0.67
Стас	12609	5836	2	2	0.67
Михайлов	12609	5836	2	2	0.67
сделал	12609	5836	2	2	0.67
читать	12609	5836	2	2	0.67
сопровождающими	12609	5836	2	2	0.67
уверенно	12609	5836	2	2	0.67
центра	12609	5836	2	2	0.67
объясняет	12609	5836	2	2	0.67
тысячи	12609	5836	2	2	0.67
Айшат	12609	5836	2	2	0.67
хотя	12609	5836	2	2	0.67
речевого	12609	5836	2	2	0.67
вовремя	12609	5836	2	2	0.67
избегать	12609	5836	2	2	0.67
маленьких	12609	5836	2	2	0.67
Life	12609	5836	2	2	0.67
Откуда	12609	5836	2	2	0.67
тело	12609	5836	2	2	0.67
ощущения	12609	5836	2	2	0.67
Психолог	12609	5836	2	2	0.67
специалист	12609	5836	2	2	0.67
детско-родительским	12609	5836	2	2	0.67
отношениям	12609	5836	2	2	0.67
автор	12609	5836	2	2	0.67
видят	12609	5836	2	2	0.67
пытаются	12609	5836	2	2	0.67
летШкола	12609	5836	2	2	0.67
будущих	12609	5836	2	2	0.67
послушные	12609	5836	2	2	0.67
лежат	12609	5836	2	2	0.67
консультанта	12609	5836	2	2	0.67
Консультанты	12609	5836	2	2	0.67
Шидухи	12609	5836	2	2	0.67
Магазин	12609	5836	2	2	0.67
Хесед	12609	5836	2	2	0.67
Мой	12609	5836	2	2	0.67
сайт	12609	5836	2	2	0.67
Ешива	12609	5836	2	2	0.67
Женщина	12609	5836	2	2	0.67
Вопросы	12609	5836	2	2	0.67
ответы	12609	5836	2	2	0.67
Спросить	12609	5836	2	2	0.67
выстроить	12609	5836	2	2	0.67
говорят	12609	5836	2	2	0.67
Б-г	12609	5836	2	2	0.67
вскоре	12609	5836	2	2	0.67
подходит	12609	5836	2	2	0.67
младшего	12609	5836	2	2	0.67
дал	12609	5836	2	2	0.67
Молитва	12609	5836	2	2	0.67
Ашер	12609	5836	2	2	0.67
Кушнир	12609	5836	2	2	0.67
Основные	12609	5836	2	2	0.67
принципы	12609	5836	2	2	0.67
Telegram-канал	12609	5836	2	2	0.67
поскольку	12609	5836	2	2	0.67
Чек-лист	12609	5836	2	2	0.67
аквапарков	12609	5836	2	2	0.67
стран	12609	5836	2	2	0.67
понравится	12609	5836	2	2	0.67
том	12609	5836	13	6	0.66
только	12609	5836	13	6	0.66
вести	12609	5836	13	6	0.66
сна	12609	5836	12	6	0.66
образования	12609	5836	9	5	0.65
уже	12609	5836	11	5	0.63
другие	12609	5836	11	5	0.63
возможность	12609	5836	11	5	0.63
рождения	12609	5836	10	5	0.62
чем	12609	5836	10	5	0.62
ли	12609	5836	10	5	0.62
проекта	12609	5836	10	5	0.62
ещё	12609	5836	10	5	0.62
которая	12609	5836	7	4	0.60
язык	12609	5836	7	4	0.60
д	12609	5836	7	4	0.60
потому	12609	5836	7	4	0.60
случае	12609	5836	9	4	0.59
ему	12609	5836	9	4	0.59
году	12609	5836	9	4	0.59
человек	12609	5836	8	4	0.57
Также	12609	5836	8	4	0.57
Что	12609	5836	8	4	0.57
семье	12609	5836	8	4	0.57
участников	12609	5836	8	4	0.57
родителям	12609	5836	8	4	0.57
всегда	12609	5836	8	4	0.57
мамы	12609	5836	8	4	0.57
ними	12609	5836	5	3	0.54
тех	12609	5836	5	3	0.54
ежегодно	12609	5836	5	3	0.54
общества	12609	5836	5	3	0.54
Летучей	12609	5836	5	3	0.54
программе	12609	5836	5	3	0.54
Подробнее	12609	5836	5	3	0.54
сентября	12609	5836	5	3	0.54
поговорить	12609	5836	5	3	0.54
психического	12609	5836	5	3	0.54
Эстонии	12609	5836	5	3	0.54
Закиева	12609	5836	5	3	0.54
сон	12609	5836	5	3	0.54
брать	12609	5836	5	3	0.54
сексе	12609	5836	5	3	0.54
вопрос	12609	5836	5	3	0.54
она	12609	5836	7	3	0.54
найти	12609	5836	7	3	0.54
детский	12609	5836	7	3	0.54
насилия	12609	5836	7	3	0.54
всё	12609	5836	7	3	0.54
про	12609	5836	7	3	0.54
означает	12609	5836	7	3	0.54
учителей	12609	5836	7	3	0.54
свои	12609	5836	7	3	0.54
стране	12609	5836	7	3	0.54
занимаются	12609	5836	7	3	0.54
делать	12609	5836	7	3	0.54
книги	12609	5836	7	3	0.54
отношения	12609	5836	7	3	0.54
воспитание	12609	5836	6	3	0.51
потребности	12609	5836	6	3	0.51
образом	12609	5836	6	3	0.51
внимание	12609	5836	6	3	0.51
старшего	12609	5836	6	3	0.51
другой	12609	5836	6	3	0.51
Летучие	12609	5836	6	3	0.51
Детям	12609	5836	6	3	0.51
темы	12609	5836	6	3	0.51
мужа	12609	5836	6	3	0.51
наказание	12609	5836	6	3	0.51
им	12609	5836	6	3	0.51
одной	12609	5836	6	3	0.51
людей	12609	5836	6	3	0.51
бы	12609	5836	6	3	0.51
происходит	12609	5836	6	3	0.51
Родители	12609	5836	6	3	0.51
дальнейшем	12609	5836	5	2	0.48
возможности	12609	5836	5	2	0.48
К	12609	5836	5	2	0.48
стать	12609	5836	5	2	0.48
нельзя	12609	5836	5	2	0.48
причине	12609	5836	5	2	0.48
следует	12609	5836	5	2	0.48
По	12609	5836	5	2	0.48
обеспечить	12609	5836	5	2	0.48
должна	12609	5836	5	2	0.48
взрослого	12609	5836	5	2	0.48
безопасности	12609	5836	5	2	0.48
собственного	12609	5836	5	2	0.48
рождении	12609	5836	5	2	0.48
точно	12609	5836	5	2	0.48
интересно	12609	5836	5	2	0.48
детства	12609	5836	3	2	0.46
странах	12609	5836	3	2	0.46
детского	12609	5836	3	2	0.46
организма	12609	5836	3	2	0.46
грудного	12609	5836	3	2	0.46
характера	12609	5836	3	2	0.46
процессов	12609	5836	3	2	0.46
настоящее	12609	5836	3	2	0.46
первую	12609	5836	3	2	0.46
очередь	12609	5836	3	2	0.46
молодых	12609	5836	3	2	0.46
Защита	12609	5836	3	2	0.46
работаем	12609	5836	3	2	0.46
пути	12609	5836	3	2	0.46
разговаривать	12609	5836	3	2	0.46
назад	12609	5836	3	2	0.46
помогаем	12609	5836	3	2	0.46
защиты	12609	5836	3	2	0.46
нужна	12609	5836	3	2	0.46
здоровью	12609	5836	3	2	0.46
работодатель	12609	5836	3	2	0.46
каждой	12609	5836	3	2	0.46
оценки	12609	5836	3	2	0.46
специальным	12609	5836	3	2	0.46
работа	12609	5836	3	2	0.46
точки	12609	5836	3	2	0.46
проект	12609	5836	3	2	0.46
участником	12609	5836	3	2	0.46
будущее	12609	5836	3	2	0.46
Автор	12609	5836	3	2	0.46
плюс	12609	5836	3	2	0.46
наших	12609	5836	3	2	0.46
подход	12609	5836	3	2	0.46
ситуациях	12609	5836	3	2	0.46
достижения	12609	5836	3	2	0.46
смогли	12609	5836	3	2	0.46
фонде	12609	5836	3	2	0.46
Читать	12609	5836	3	2	0.46
новости	12609	5836	3	2	0.46
взрослыми	12609	5836	3	2	0.46
хороший	12609	5836	3	2	0.46
здесь	12609	5836	3	2	0.46
сложно	12609	5836	3	2	0.46
внимания	12609	5836	3	2	0.46
Дома	12609	5836	3	2	0.46
привычки	12609	5836	3	2	0.46
Закон	12609	5836	3	2	0.46
осуществлении	12609	5836	3	2	0.46
унизительное	12609	5836	3	2	0.46
физическому	12609	5836	3	2	0.46
необходимые	12609	5836	3	2	0.46
любого	12609	5836	3	2	0.46
таких	12609	5836	3	2	0.46
Такое	12609	5836	3	2	0.46
движения	12609	5836	3	2	0.46
публикацию	12609	5836	3	2	0.46
беременности	12609	5836	3	2	0.46
перемены	12609	5836	3	2	0.46
авиакомпании	12609	5836	3	2	0.46
всю	12609	5836	3	2	0.46
начинают	12609	5836	3	2	0.46
дело	12609	5836	3	2	0.46
возможностями	12609	5836	3	2	0.46
пребывания	12609	5836	3	2	0.46
стал	12609	5836	3	2	0.46
чувствовать	12609	5836	3	2	0.46
Гамзаева	12609	5836	3	2	0.46
ждёт	12609	5836	3	2	0.46
ими	12609	5836	3	2	0.46
Общие	12609	5836	3	2	0.46
BabySleep	12609	5836	3	2	0.46
мам	12609	5836	3	2	0.46
ревность	12609	5836	3	2	0.46
Ципора	12609	5836	3	2	0.46
Харитан	12609	5836	3	2	0.46
Вам	12609	5836	3	2	0.46
жестоко	12609	5836	3	2	0.46
пять	12609	5836	3	2	0.46
воспринимают	12609	5836	3	2	0.46
этих	12609	5836	4	2	0.43
одно	12609	5836	4	2	0.43
примерно	12609	5836	4	2	0.43
процессе	12609	5836	4	2	0.43
роста	12609	5836	4	2	0.43
этим	12609	5836	4	2	0.43
особое	12609	5836	4	2	0.43
стороны	12609	5836	4	2	0.43
Б	12609	5836	4	2	0.43
начинает	12609	5836	4	2	0.43
Медсестра	12609	5836	4	2	0.43
Помочь	12609	5836	4	2	0.43
Проекты	12609	5836	4	2	0.43
нуждаются	12609	5836	4	2	0.43
цель	12609	5836	4	2	0.43
оценивают	12609	5836	4	2	0.43
Летучих	12609	5836	4	2	0.43
команд	12609	5836	4	2	0.43
раз	12609	5836	4	2	0.43
pro	12609	5836	4	2	0.43
подопечных	12609	5836	4	2	0.43
обучение	12609	5836	4	2	0.43
учитель	12609	5836	4	2	0.43
здоровье	12609	5836	4	2	0.43
женщины	12609	5836	4	2	0.43
которого	12609	5836	4	2	0.43
нам	12609	5836	4	2	0.43
люди	12609	5836	4	2	0.43
Главная	12609	5836	4	2	0.43
другими	12609	5836	4	2	0.43
сообщать	12609	5836	4	2	0.43
таким	12609	5836	4	2	0.43
часть	12609	5836	4	2	0.43
правила	12609	5836	4	2	0.43
отреагировала	12609	5836	4	2	0.43
вместе	12609	5836	4	2	0.43
развитием	12609	5836	4	2	0.43
семейного	12609	5836	4	2	0.43
прекрасно	12609	5836	4	2	0.43
основном	12609	5836	3	1	0.40
код	12609	5836	3	1	0.40
подкожной	12609	5836	3	1	0.40
чего	12609	5836	3	1	0.40
ухода	12609	5836	3	1	0.40
половой	12609	5836	3	1	0.40
информации	12609	5836	3	1	0.40
двух	12609	5836	3	1	0.40
ISBN	12609	5836	3	1	0.40
новорожденный	12609	5836	3	1	0.40
развлекает	12609	5836	3	1	0.40
малыша	12609	5836	3	1	0.40
Матвия	12609	5836	3	1	0.40
ваш	12609	5836	3	1	0.40
родитель	12609	5836	3	1	0.40
вопросы	12609	5836	3	1	0.40
голос	12609	5836	3	1	0.40
семья	12609	5836	3	1	0.40
for	12609	5836	3	1	0.40
которым	12609	5836	3	1	0.40
номинации	12609	5836	3	1	0.40
Первый	12609	5836	3	1	0.40
желающих	12609	5836	3	1	0.40
организаций	12609	5836	3	1	0.40
курса	12609	5836	3	1	0.40
одного	12609	5836	3	1	0.40
момент	12609	5836	3	1	0.40
получат	12609	5836	3	1	0.40
совсем	12609	5836	3	1	0.40
дни	12609	5836	3	1	0.40
Из	12609	5836	3	1	0.40
этот	12609	5836	3	1	0.40
Ru	12609	5836	3	1	0.40
Сейчас	12609	5836	3	1	0.40
Конвенции	12609	5836	3	1	0.40
материалы	12609	5836	3	1	0.40
учитывать	12609	5836	3	1	0.40
поведение	12609	5836	3	1	0.40
Физическое	12609	5836	3	1	0.40
информация	12609	5836	3	1	0.40
социальные	12609	5836	3	1	0.40
кажется	12609	5836	3	1	0.40
лишь	12609	5836	3	1	0.40
уровне	12609	5836	3	1	0.40
средства	12609	5836	3	1	0.40
лечение	12609	5836	3	1	0.40
государства	12609	5836	3	1	0.40
обязано	12609	5836	3	1	0.40
родной	12609	5836	3	1	0.40
положение	12609	5836	3	1	0.40
Поэтому	12609	5836	3	1	0.40
Кулпынай	12609	5836	3	1	0.40
женщин	12609	5836	3	1	0.40
свой	12609	5836	3	1	0.40
первом	12609	5836	3	1	0.40
конце	12609	5836	3	1	0.40
часов	12609	5836	3	1	0.40
самом	12609	5836	3	1	0.40
Например	12609	5836	3	1	0.40
ночного	12609	5836	3	1	0.40
своему	12609	5836	3	1	0.40
характер	12609	5836	3	1	0.40
такими	12609	5836	3	1	0.40
какой	12609	5836	3	1	0.40
хотят	12609	5836	3	1	0.40
Да	12609	5836	3	1	0.40
школах	12609	5836	3	1	0.40
открытие	12609	5836	3	1	0.40
немного	12609	5836	3	1	0.40
наш	12609	5836	3	1	0.40
пор	12609	5836	3	1	0.40
Особенно	12609	5836	3	1	0.40
уметь	12609	5836	3	1	0.40
той	12609	5836	3	1	0.40
формируется	12609	5836	3	1	0.40
правильно	12609	5836	3	1	0.40
Важно	12609	5836	3	1	0.40
Лидия	12609	5836	3	1	0.40
Пархитько	12609	5836	3	1	0.40
рассказать	12609	5836	3	1	0.40
чаще	12609	5836	3	1	0.40
младшему	12609	5836	3	1	0.40
малышом	12609	5836	3	1	0.40
друг	12609	5836	3	1	0.40
сможет	12609	5836	3	1	0.40
Он	12609	5836	3	1	0.40
вырастить	12609	5836	3	1	0.40
качестве	12609	5836	3	1	0.40
другом	12609	5836	3	1	0.40
месте	12609	5836	3	1	0.40
зависят	12609	5836	3	1	0.40
сказать	12609	5836	3	1	0.40
матери	12609	5836	3	1	0.40
вот	12609	5836	3	1	0.40
собрать	12609	5836	3	1	0.40
вещи	12609	5836	3	1	0.40
смерть	12609	5836	3	1	0.40
значении	12609	5836	1	1	0.33
период	12609	5836	1	1	0.33
общем	12609	5836	1	1	0.33
окончания	12609	5836	1	1	0.33
пубертатного	12609	5836	1	1	0.33
периода	12609	5836	1	1	0.33
мяч	12609	5836	1	1	0.33
Римская	12609	5836	1	1	0.33
империя	12609	5836	1	1	0.33
век	12609	5836	1	1	0.33
н	12609	5836	1	1	0.33
э	12609	5836	1	1	0.33
Учение	12609	5836	1	1	0.33
берёт	12609	5836	1	1	0.33
IV	12609	5836	1	1	0.33
природе	12609	5836	1	1	0.33
века	12609	5836	1	1	0.33
пишут	12609	5836	1	1	0.33
Цельс	12609	5836	1	1	0.33
Гален	12609	5836	1	1	0.33
Соран	12609	5836	1	1	0.33
некоторых	12609	5836	1	1	0.33
воспитательных	12609	5836	1	1	0.33
приютов	12609	5836	1	1	0.33
подкидышей	12609	5836	1	1	0.33
беспризорных	12609	5836	1	1	0.33
способствовали	12609	5836	1	1	0.33
пробуждению	12609	5836	1	1	0.33
особенностям	12609	5836	1	1	0.33
XV	12609	5836	1	1	0.33
XVII	12609	5836	1	1	0.33
веках	12609	5836	1	1	0.33
опубликовано	12609	5836	1	1	0.33
большое	12609	5836	1	1	0.33
трудов	12609	5836	1	1	0.33
посвящённых	12609	5836	1	1	0.33
выхаживанию	12609	5836	1	1	0.33
Пётр	12609	5836	1	1	0.33
издаёт	12609	5836	1	1	0.33
